ticket_id,opened_at,domain,asset,component,error_code,severity,status,team,title,description,resolution,resolved_hours
INC-2026-04511,2026-03-19T22:15,Energy,Substation Kollsnes,Protection relay,ERR-7120,Critical,Resolved,SCADA,Feeder lost supply without cause,"Supply dropped with no weather, no work in progress and nothing on the overhead.",Relay setting group left on the commissioning profile. Restored operational settings.,7.2
INC-2026-04857,2026-01-20T07:00,Payments,Gateway Core,Card authorisation,ERR-4001,Critical,Resolved,Core Banking,Elevated decline rate on card payments,Success rate dropped from its usual level to around eighty percent over about ten minutes.,Connection pool exhausted after a traffic spike. Raised the pool size and added backpressure.,5.1
INC-2026-04825,2026-07-26T12:45,Retail,Store 022 Trondheim,Inventory sync,ERR-6410,Medium,Closed,E-commerce,Stock levels out of step with warehouse,Customers are ordering items that ran out before the order was even placed.,Message queue backed up behind a poison message. Removed it and replayed the remainder.,9.4
INC-2026-04592,2026-04-19T10:15,Maritime,MV Kvitøy,Fuel system,ERR-5140,High,Resolved,Hull & Deck,Fuel pressure fluctuating on auxiliary engine,Reading is restless. It never sits still long enough to take a proper number off it.,Lift pump diaphragm perished. Renewed the pump and confirmed steady supply pressure.,5.9
INC-2026-04938,2026-06-21T15:00,Retail,Store 014 Oslo,Inventory sync,ERR-6410,Medium,In Progress,Store Systems,Counts disagree between systems,"Figures are a day behind, so every decision this morning was made on yesterday's picture.",,
INC-2026-04958,2026-02-22T03:45,Retail,DC Larvik,Inventory sync,ERR-6410,High,Closed,Logistics,Counts disagree between systems,"The website is offering products the shelf does not actually have, and customers arrive to collect nothing.",Message queue backed up behind a poison message. Removed it and replayed the remainder.,17.0
INC-2026-04484,2026-01-17T04:45,Retail,Store 022 Trondheim,Inventory sync,ERR-6410,Low,Resolved,Logistics,Stock levels out of step with warehouse,"Figures are a day behind, so every decision this morning was made on yesterday's picture.",Message queue backed up behind a poison message. Removed it and replayed the remainder.,2.3
INC-2026-04270,2026-03-25T06:15,Energy,Substation Rong,Transformer cooling,ERR-7744,Medium,Closed,SCADA,Overtemperature warning during evening peak,"Sits several degrees above where it has historically run, with load unchanged.","Two cooling fans had failed. Replaced both, temperature returned to its normal profile within the hour.",23.7
INC-2026-04070,2026-01-25T11:15,Retail,Store 014 Oslo,Point of sale,ERR-6205,Medium,Resolved,E-commerce,Till freezing during busy period,"Goes down on its own without anyone touching it, then comes back a minute later.",Failing memory module. Swapped the board and soak tested through a full trading day.,6.0
INC-2026-04537,2026-05-12T16:00,Payments,Gateway North,Fraud scoring,ERR-4102,Medium,Resolved,Payments Platform,False positives spiking on new rule,Analysts are drowning in referrals that turn out to be perfectly ordinary purchases.,Feature store query missing an index after a schema change. Index rebuilt and latency recovered.,7.5
